CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study,Species
ASC,1,0,5.40032656952373,21.64167078875347,TPM:Adult-Astro,DRONC_human,human
END,1,0.686,0.861366086230796,-0.5577932853413754,TPM:Adult-Astro,DRONC_human,human
exCA,1,0.9997,0.5618108334318076,-3.226798345110699,TPM:Adult-Astro,DRONC_human,human
exDG,1,0.9995,0.5724622287438902,-2.890633619569611,TPM:Adult-Astro,DRONC_human,human
exPFC,1,1,0.5035452406341283,-3.800909185382909,TPM:Adult-Astro,DRONC_human,human
GABA,1,1,0.48784972687349915,-3.3960206992226722,TPM:Adult-Astro,DRONC_human,human
MG,1,0.9921,0.48723190977271646,-1.6935301624633856,TPM:Adult-Astro,DRONC_human,human
NSC,1,0,2.4577128380472804,6.726678076888577,TPM:Adult-Astro,DRONC_human,human
ODC,1,0.9436,0.6672969762669854,-1.3619413542706547,TPM:Adult-Astro,DRONC_human,human
OPC,1,0.9796,0.6445951103293948,-1.6619345130332803,TPM:Adult-Astro,DRONC_human,human
Astrocyte,1,0,5.0857518991793516,20.78494924911447,TPM:Adult-Astro,AIBS2019,human
Endothelial cell,1,0.2824,1.1738343205718968,0.5363806413766973,TPM:Adult-Astro,AIBS2019,human
GABAergic,1,1,0.30957529198254513,-4.259729676592937,TPM:Adult-Astro,AIBS2019,human
Glutamatergic,1,1,0.3625139866733452,-3.964164577830792,TPM:Adult-Astro,AIBS2019,human
Microglia,1,1,0.1471627695251594,-3.3268667660374254,TPM:Adult-Astro,AIBS2019,human
OPC,1,1,0.43053974945684137,-3.395348787184633,TPM:Adult-Astro,AIBS2019,human
Oligodendrocyte,1,0.9999,0.4236882215208493,-2.7947540936140722,TPM:Adult-Astro,AIBS2019,human
ASC,1,0.0613,1.2214889263540987,1.6295057076095758,TPM:Adult-Endo,DRONC_human,human
END,1,0,2.7754109698920804,10.607321291838053,TPM:Adult-Endo,DRONC_human,human
exCA,1,1,0.439635897178584,-5.70295316958648,TPM:Adult-Endo,DRONC_human,human
exDG,1,1,0.49550542493038197,-4.788845491399087,TPM:Adult-Endo,DRONC_human,human
exPFC,1,1,0.3141161296109761,-7.225982463458602,TPM:Adult-Endo,DRONC_human,human
GABA,1,1,0.3480110407675749,-5.824025182072581,TPM:Adult-Endo,DRONC_human,human
MG,1,0.3711,1.051666985939099,0.22508595875751874,TPM:Adult-Endo,DRONC_human,human
NSC,1,0.7368,0.8991117845588188,-0.6544673750973453,TPM:Adult-Endo,DRONC_human,human
ODC,1,0,4.884745670736718,21.029467845012967,TPM:Adult-Endo,DRONC_human,human
OPC,1,0,2.319329569682128,8.007763560202445,TPM:Adult-Endo,DRONC_human,human
Astrocyte,1,0.9931,0.6957229972194409,-2.205303767521242,TPM:Adult-Endo,AIBS2019,human
Endothelial cell,1,0,2.975069378721506,8.589569338584706,TPM:Adult-Endo,AIBS2019,human
GABAergic,1,1,0.2128046968240098,-6.809522690727764,TPM:Adult-Endo,AIBS2019,human
Glutamatergic,1,1,0.15982588110578883,-7.257479995310434,TPM:Adult-Endo,AIBS2019,human
Microglia,1,0.9967,0.57721853894153,-2.3541835915182623,TPM:Adult-Endo,AIBS2019,human
OPC,1,0.001,1.4459086124679212,3.5469973598823494,TPM:Adult-Endo,AIBS2019,human
Oligodendrocyte,1,0,2.8113624319000916,12.684858827144025,TPM:Adult-Endo,AIBS2019,human
ASC,1,0.8621,0.7172361613578334,-0.9930764484401255,TPM:Adult-Ex1,DRONC_human,human
END,1,0.8771,0.6137135039600771,-1.1119398366793043,TPM:Adult-Ex1,DRONC_human,human
exCA,1,0.0095,1.5324575701435634,2.687486711955842,TPM:Adult-Ex1,DRONC_human,human
exDG,1,0,2.3516752371678367,5.974801031686074,TPM:Adult-Ex1,DRONC_human,human
exPFC,1,0.0958,1.2506225729737963,1.3282854466642435,TPM:Adult-Ex1,DRONC_human,human
GABA,1,5e-4,1.9171695252162055,4.257495309891466,TPM:Adult-Ex1,DRONC_human,human
MG,1,0.999,0.23430110739527307,-1.569312931092092,TPM:Adult-Ex1,DRONC_human,human
NSC,1,0.733,0.7852338569014379,-0.6806505238903647,TPM:Adult-Ex1,DRONC_human,human
ODC,1,0.9454,0.553796077660431,-1.1884425233116613,TPM:Adult-Ex1,DRONC_human,human
OPC,1,0.3514,1.06188592386401,0.20294777305047326,TPM:Adult-Ex1,DRONC_human,human
Astrocyte,1,0.738,0.8013609773979236,-0.6960878533164699,TPM:Adult-Ex1,AIBS2019,human
Endothelial cell,1,0.523,0.9158406829962578,-0.16996726812879565,TPM:Adult-Ex1,AIBS2019,human
GABAergic,1,2e-4,2.0965703864163543,4.737555887573694,TPM:Adult-Ex1,AIBS2019,human
Glutamatergic,1,0.0046,1.723906678299804,3.0223510010465007,TPM:Adult-Ex1,AIBS2019,human
Microglia,1,0.9996,0.15446114579304435,-2.286901323734618,TPM:Adult-Ex1,AIBS2019,human
OPC,1,0.657,0.8865061693648042,-0.4565239754429677,TPM:Adult-Ex1,AIBS2019,human
Oligodendrocyte,1,0.8645,0.6933156882384077,-1.0698723239356123,TPM:Adult-Ex1,AIBS2019,human
ASC,1,0.632,0.8485906578891811,-0.44850231283708736,TPM:Adult-Ex2,DRONC_human,human
END,1,0.6898,0.7400223663466794,-0.5983454898603554,TPM:Adult-Ex2,DRONC_human,human
exCA,1,0.0371,1.4838819069520868,1.9781784670846045,TPM:Adult-Ex2,DRONC_human,human
exDG,1,0.9964,0.41472212661502555,-2.2468311909281873,TPM:Adult-Ex2,DRONC_human,human
exPFC,1,0.0104,1.669409728797276,2.8006682829035325,TPM:Adult-Ex2,DRONC_human,human
GABA,1,0.1543,1.2506515437588057,0.9667619305733997,TPM:Adult-Ex2,DRONC_human,human
MG,1,0.6392,0.7293774916452369,-0.4679733666917302,TPM:Adult-Ex2,DRONC_human,human
NSC,1,0.1805,1.3425113011536924,0.884560533219841,TPM:Adult-Ex2,DRONC_human,human
ODC,1,0.2036,1.2737462296108595,0.6204040409960597,TPM:Adult-Ex2,DRONC_human,human
OPC,1,0.1177,1.4126073418450669,1.1614608565337015,TPM:Adult-Ex2,DRONC_human,human
Astrocyte,1,0.7504,0.7440843222978522,-0.7353372879201421,TPM:Adult-Ex2,AIBS2019,human
Endothelial cell,1,0.0931,1.8410094199812648,1.4301493509292127,TPM:Adult-Ex2,AIBS2019,human
GABAergic,1,0.0256,1.6260030767588747,2.2585348066864337,TPM:Adult-Ex2,AIBS2019,human
Glutamatergic,1,0.2102,1.2072781670723018,0.7580896624084029,TPM:Adult-Ex2,AIBS2019,human
Microglia,1,0.9981,0.1210404441884869,-1.8383913107977359,TPM:Adult-Ex2,AIBS2019,human
OPC,1,0.4571,1.0087646987706382,0.030144430320462923,TPM:Adult-Ex2,AIBS2019,human
Oligodendrocyte,1,0.6108,0.8575422917387057,-0.39658394379394835,TPM:Adult-Ex2,AIBS2019,human
ASC,1,0.2183,1.243491829094054,0.6252848128232266,TPM:Adult-Ex3,DRONC_human,human
END,1,0.5757,0.8013969495642479,-0.38630185315400445,TPM:Adult-Ex3,DRONC_human,human
exCA,1,0.1732,1.2502655497548674,0.9028433932116189,TPM:Adult-Ex3,DRONC_human,human
exDG,1,0.8208,0.7130993927023701,-0.8950344150105566,TPM:Adult-Ex3,DRONC_human,human
exPFC,1,0,2.6693235489379066,6.121052871350545,TPM:Adult-Ex3,DRONC_human,human
GABA,1,0.0172,1.7741379882132033,2.532726473434951,TPM:Adult-Ex3,DRONC_human,human
MG,1,0.9707,0.2779800681998121,-1.0523567607879685,TPM:Adult-Ex3,DRONC_human,human
NSC,1,0.9521,0.38765809341919866,-1.3245832586680348,TPM:Adult-Ex3,DRONC_human,human
ODC,1,0.7659,0.6418466256177264,-0.7042441985703614,TPM:Adult-Ex3,DRONC_human,human
OPC,1,0.0293,2.0843126817758053,2.3792892444164435,TPM:Adult-Ex3,DRONC_human,human
Astrocyte,1,0.3084,1.1586558548145198,0.3731310079286691,TPM:Adult-Ex3,AIBS2019,human
Endothelial cell,1,0.4606,0.9564163758243085,-0.06484982213847303,TPM:Adult-Ex3,AIBS2019,human
GABAergic,1,0.7116,0.7911645369874132,-0.6245199954097213,TPM:Adult-Ex3,AIBS2019,human
Glutamatergic,1,0.0168,1.8382311592712435,2.4924808444131044,TPM:Adult-Ex3,AIBS2019,human
Microglia,1,0.982,0.18020271365609222,-1.5441364670994193,TPM:Adult-Ex3,AIBS2019,human
OPC,1,0.0659,1.6084211854869521,1.6528836150833455,TPM:Adult-Ex3,AIBS2019,human
Oligodendrocyte,1,0.2454,1.2499729257550587,0.57729408576611,TPM:Adult-Ex3,AIBS2019,human
ASC,1,0.9953,0.4726672998978513,-1.8147144805492246,TPM:Adult-Ex4,DRONC_human,human
END,1,0.6129,0.8557442410835358,-0.40095204522519745,TPM:Adult-Ex4,DRONC_human,human
exCA,1,0.1354,1.2141445765222922,1.0957328361516978,TPM:Adult-Ex4,DRONC_human,human
exDG,1,0.0087,1.626818106657353,2.8080578967065852,TPM:Adult-Ex4,DRONC_human,human
exPFC,1,0.0704,1.2942755079261623,1.5285497583664434,TPM:Adult-Ex4,DRONC_human,human
GABA,1,0.6025,0.929562049468277,-0.3266621816500711,TPM:Adult-Ex4,DRONC_human,human
MG,1,0.9983,0.2722044369039224,-1.601481970828141,TPM:Adult-Ex4,DRONC_human,human
NSC,1,0.2672,1.1787260479476225,0.5461062409270385,TPM:Adult-Ex4,DRONC_human,human
ODC,1,1,0.25981401728672154,-2.0298766665012424,TPM:Adult-Ex4,DRONC_human,human
OPC,1,0.8331,0.7226411091742732,-0.8685783869672108,TPM:Adult-Ex4,DRONC_human,human
Astrocyte,1,0.9386,0.5941058436628026,-1.3592861915524834,TPM:Adult-Ex4,AIBS2019,human
Endothelial cell,1,0.27,1.261594810503033,0.5357504938980485,TPM:Adult-Ex4,AIBS2019,human
GABAergic,1,0.2869,1.1159004550279943,0.5102711984182845,TPM:Adult-Ex4,AIBS2019,human
Glutamatergic,1,0,2.5340159829349935,6.8300032422600445,TPM:Adult-Ex4,AIBS2019,human
Microglia,1,0.9997,0.11610496290089128,-2.2512785681582725,TPM:Adult-Ex4,AIBS2019,human
OPC,1,0.6313,0.8998698233613969,-0.40946782397967574,TPM:Adult-Ex4,AIBS2019,human
Oligodendrocyte,1,0.9936,0.3982555934977905,-1.9828121647826629,TPM:Adult-Ex4,AIBS2019,human
ASC,1,0.0258,1.7354461582952265,2.3711431861067145,TPM:Adult-Ex5,DRONC_human,human
END,1,0.9007,0.5644288953490834,-1.159765127462816,TPM:Adult-Ex5,DRONC_human,human
exCA,1,0.1118,1.257227570099183,1.219043395709392,TPM:Adult-Ex5,DRONC_human,human
exDG,1,0.0612,1.3940680687390956,1.644826096792816,TPM:Adult-Ex5,DRONC_human,human
exPFC,1,0,2.137385327772561,5.505184910418939,TPM:Adult-Ex5,DRONC_human,human
GABA,1,0.7433,0.8469809131528853,-0.6632523882206475,TPM:Adult-Ex5,DRONC_human,human
MG,1,0.285,1.1355924368467523,0.3075301094978187,TPM:Adult-Ex5,DRONC_human,human
NSC,1,0.2685,1.1864236652881812,0.5241474168245142,TPM:Adult-Ex5,DRONC_human,human
ODC,1,0.9859,0.42268005961216276,-1.4479723838435756,TPM:Adult-Ex5,DRONC_human,human
OPC,1,0.694,0.8054423354515214,-0.5608768962230427,TPM:Adult-Ex5,DRONC_human,human
Astrocyte,1,0.0161,1.7879774664247465,2.4901234628118853,TPM:Adult-Ex5,AIBS2019,human
Endothelial cell,1,0.9332,0.33006356528088343,-1.319749996589944,TPM:Adult-Ex5,AIBS2019,human
GABAergic,1,0.98740000000000006,0.5447185575897647,-1.9177167541321551,TPM:Adult-Ex5,AIBS2019,human
Glutamatergic,1,0,2.174290574145258,4.719910912775919,TPM:Adult-Ex5,AIBS2019,human
Microglia,1,0.6348,0.8315285264983375,-0.42612826653964037,TPM:Adult-Ex5,AIBS2019,human
OPC,1,0.5199,0.9598065526691127,-0.1501217963361136,TPM:Adult-Ex5,AIBS2019,human
Oligodendrocyte,1,0.958,0.5352013163717367,-1.4801972191579948,TPM:Adult-Ex5,AIBS2019,human
ASC,1,0.0801,1.2982125703732814,1.47216791834664,TPM:Adult-Ex6,DRONC_human,human
END,1,0.8826,0.7238374673999948,-1.1601000746426953,TPM:Adult-Ex6,DRONC_human,human
exCA,1,1e-4,1.6938293182468056,5.054376688971813,TPM:Adult-Ex6,DRONC_human,human
exDG,1,0.7385,0.9024383165209764,-0.6498587873765753,TPM:Adult-Ex6,DRONC_human,human
exPFC,1,0.3896,1.0317859432665508,0.2394261388558957,TPM:Adult-Ex6,DRONC_human,human
GABA,1,0.0057,1.4680362299658833,3.022029581427613,TPM:Adult-Ex6,DRONC_human,human
MG,1,0.6654,0.8306358580502697,-0.5552136941553377,TPM:Adult-Ex6,DRONC_human,human
NSC,1,0.8766,0.7533474008209569,-1.1320611358989041,TPM:Adult-Ex6,DRONC_human,human
ODC,1,0.9995,0.44658961683627857,-2.3309774702696697,TPM:Adult-Ex6,DRONC_human,human
OPC,1,0.016,1.5426263239490436,2.573578686910104,TPM:Adult-Ex6,DRONC_human,human
Astrocyte,1,0.0077,1.5338570963882663,2.7280454086749684,TPM:Adult-Ex6,AIBS2019,human
Endothelial cell,1,0.8266,0.7008428196851765,-0.9533835197897353,TPM:Adult-Ex6,AIBS2019,human
GABAergic,1,0.0177,1.3713849192443117,2.277508193266543,TPM:Adult-Ex6,AIBS2019,human
Glutamatergic,1,0.0832,1.2228305081324586,1.3987992384764572,TPM:Adult-Ex6,AIBS2019,human
Microglia,1,0.9228,0.6551100730869452,-1.3488057875722146,TPM:Adult-Ex6,AIBS2019,human
OPC,1,0.0094,1.4400244499170585,2.6270450333582875,TPM:Adult-Ex6,AIBS2019,human
Oligodendrocyte,1,1,0.40871436466213584,-2.9852791239196246,TPM:Adult-Ex6,AIBS2019,human
ASC,1,0.1975,1.2898502421420004,0.6541171832793496,TPM:Adult-Ex7,DRONC_human,human
END,1,0.4103,0.9897639398334241,-0.01717935719983605,TPM:Adult-Ex7,DRONC_human,human
exCA,1,0.0106,1.940121109234035,2.7091311761368044,TPM:Adult-Ex7,DRONC_human,human
exDG,1,0.6614,0.8130892956056109,-0.4725923026906857,TPM:Adult-Ex7,DRONC_human,human
exPFC,1,0.2102,1.2372263847799876,0.6638058218627207,TPM:Adult-Ex7,DRONC_human,human
GABA,1,0.7025,0.7811421294362996,-0.5650726404083936,TPM:Adult-Ex7,DRONC_human,human
MG,1,0.5759,0.7063995587070968,-0.36554529662004004,TPM:Adult-Ex7,DRONC_human,human
NSC,1,0.5227,0.8387066471518454,-0.28728221057174946,TPM:Adult-Ex7,DRONC_human,human
ODC,1,0.136,1.5797505636081794,0.8780344351467306,TPM:Adult-Ex7,DRONC_human,human
OPC,1,0.0309,2.784453751952026,2.776693523108874,TPM:Adult-Ex7,DRONC_human,human
Astrocyte,1,0.9965,0.1657316319401343,-1.7885209147223626,TPM:Adult-Ex7,AIBS2019,human
Endothelial cell,1,0.7128,0.45205663596247664,-0.6862439592355797,TPM:Adult-Ex7,AIBS2019,human
GABAergic,1,0.7689,0.7059065109993268,-0.7677036947080563,TPM:Adult-Ex7,AIBS2019,human
Glutamatergic,1,0.1188,1.4956455733328626,1.2050487669590673,TPM:Adult-Ex7,AIBS2019,human
Microglia,1,0.9962,0.011911168064002546,-1.627833161471459,TPM:Adult-Ex7,AIBS2019,human
OPC,1,7e-4,2.854897471084329,4.27830869975896,TPM:Adult-Ex7,AIBS2019,human
Oligodendrocyte,1,0.1172,1.5887009991448506,1.2119520187837998,TPM:Adult-Ex7,AIBS2019,human
ASC,1,0.3074,1.064351625404366,0.4177723828840662,TPM:Adult-Ex8,DRONC_human,human
END,1,0.0781,1.2712870624429895,1.4707571042577359,TPM:Adult-Ex8,DRONC_human,human
exCA,1,0.0838,1.1529174977365293,1.4379305552833925,TPM:Adult-Ex8,DRONC_human,human
exDG,1,0.9239,0.8414678994246131,-1.3830515842698718,TPM:Adult-Ex8,DRONC_human,human
exPFC,1,0.5472,0.9849814088016131,-0.14635950780899876,TPM:Adult-Ex8,DRONC_human,human
GABA,1,0.0191,1.263113391626973,2.2348177688126296,TPM:Adult-Ex8,DRONC_human,human
MG,1,0.2569,1.1364710945859506,0.581394691280018,TPM:Adult-Ex8,DRONC_human,human
NSC,1,0.3867,1.0408825295880126,0.24465678855888212,TPM:Adult-Ex8,DRONC_human,human
ODC,1,0.0812,1.2820584545451084,1.4805916880885575,TPM:Adult-Ex8,DRONC_human,human
OPC,1,0.0011,1.683516949213341,3.816186566146681,TPM:Adult-Ex8,DRONC_human,human
Astrocyte,1,0.7742,0.88247114413348,-0.7788864597342934,TPM:Adult-Ex8,AIBS2019,human
Endothelial cell,1,0.3154,1.1072076239951358,0.4320318030947453,TPM:Adult-Ex8,AIBS2019,human
GABAergic,1,0.0645,1.191635025887828,1.5598095437658142,TPM:Adult-Ex8,AIBS2019,human
Glutamatergic,1,0.1922,1.104160314839538,0.8511949653946503,TPM:Adult-Ex8,AIBS2019,human
Microglia,1,0.6594,0.9142512029773289,-0.43443252410546584,TPM:Adult-Ex8,AIBS2019,human
OPC,1,0.0158,1.3066318820544982,2.3048483942061115,TPM:Adult-Ex8,AIBS2019,human
Oligodendrocyte,1,0.1429,1.1641144677907151,1.063804847977744,TPM:Adult-Ex8,AIBS2019,human
ASC,1,0.0285,1.9253874513200757,2.260253895291937,TPM:Adult-In2,DRONC_human,human
END,1,0.4144,0.9622970229876308,-0.06622106227220981,TPM:Adult-In2,DRONC_human,human
exCA,1,0.4217,1.031188802361936,0.10187471226515064,TPM:Adult-In2,DRONC_human,human
exDG,1,0.6957,0.8180780447396296,-0.5560404488640572,TPM:Adult-In2,DRONC_human,human
exPFC,1,0.8144,0.7316935197501228,-0.8604266574278329,TPM:Adult-In2,DRONC_human,human
GABA,1,3e-4,2.7089096952210237,5.251667946866232,TPM:Adult-In2,DRONC_human,human
MG,1,0.9656,0.2797921647262958,-0.9906273395711316,TPM:Adult-In2,DRONC_human,human
NSC,1,0.1458,1.5619633085744118,1.0842875906750962,TPM:Adult-In2,DRONC_human,human
ODC,1,0.9976,0.1598281107609747,-1.5761995362793126,TPM:Adult-In2,DRONC_human,human
OPC,1,0.992,0.2512046900362747,-1.5269594477337418,TPM:Adult-In2,DRONC_human,human
Astrocyte,1,0.5969,0.8366904367310337,-0.37639813778327974,TPM:Adult-In2,AIBS2019,human
Endothelial cell,1,0.0641,2.2701444006511844,1.741709731154569,TPM:Adult-In2,AIBS2019,human
GABAergic,1,5e-4,2.6230665424983015,4.627034680235559,TPM:Adult-In2,AIBS2019,human
Glutamatergic,1,0.8198,0.7015365284964968,-0.9063587780499044,TPM:Adult-In2,AIBS2019,human
Microglia,1,0.9894,0.10964934762452369,-1.5206125150604373,TPM:Adult-In2,AIBS2019,human
OPC,1,0.8489,0.6174732467982091,-0.9844050577539312,TPM:Adult-In2,AIBS2019,human
Oligodendrocyte,1,0.9995,0.09097968593427609,-1.9852878928982016,TPM:Adult-In2,AIBS2019,human
ASC,1,0.0345,1.650224972351409,2.20410132224254,TPM:Adult-In3,DRONC_human,human
END,1,0.6841,0.8085634066325252,-0.5733263232028151,TPM:Adult-In3,DRONC_human,human
exCA,1,0.4737,1.000547089676504,0.0027010633195364724,TPM:Adult-In3,DRONC_human,human
exDG,1,0.4116,1.0341388685428161,0.15826370217773428,TPM:Adult-In3,DRONC_human,human
exPFC,1,0.2888,1.0977621773664248,0.5298711232009202,TPM:Adult-In3,DRONC_human,human
GABA,1,0.001,1.8390606725055958,3.985729001978211,TPM:Adult-In3,DRONC_human,human
MG,1,0.9965,0.31802591095714566,-1.5286290500882276,TPM:Adult-In3,DRONC_human,human
NSC,1,0.0842,1.4403320733194143,1.468091066491285,TPM:Adult-In3,DRONC_human,human
ODC,1,0.9924,0.4314437016947332,-1.5766551610200306,TPM:Adult-In3,DRONC_human,human
OPC,1,0.296,1.1139539433512393,0.3584858881930107,TPM:Adult-In3,DRONC_human,human
Astrocyte,1,0.1326,1.3061335825175957,1.1326808302033635,TPM:Adult-In3,AIBS2019,human
Endothelial cell,1,0.2526,1.2870803412566438,0.617012649062743,TPM:Adult-In3,AIBS2019,human
GABAergic,1,4e-4,1.8999031465987366,3.989600776082038,TPM:Adult-In3,AIBS2019,human
Glutamatergic,1,0.701,0.8658912946141373,-0.57869148177852,TPM:Adult-In3,AIBS2019,human
Microglia,1,0.7609,0.7235327494347653,-0.7700495643775728,TPM:Adult-In3,AIBS2019,human
OPC,1,0.6016,0.9198898173657406,-0.32443083738924067,TPM:Adult-In3,AIBS2019,human
Oligodendrocyte,1,0.9797,0.5130972814139453,-1.7322078936348382,TPM:Adult-In3,AIBS2019,human
ASC,1,0.3158,1.1102712803140045,0.32608892374099735,TPM:Adult-In4,DRONC_human,human
END,1,0.1058,1.5715442884819093,1.314616449769137,TPM:Adult-In4,DRONC_human,human
exCA,1,0.8801,0.7116382065771462,-1.1153071643020853,TPM:Adult-In4,DRONC_human,human
exDG,1,0.9976,0.3631119182098803,-2.3614584802518257,TPM:Adult-In4,DRONC_human,human
exPFC,1,0.9538,0.6263016721255739,-1.6112939239149078,TPM:Adult-In4,DRONC_human,human
GABA,1,2e-4,2.50355445503901,5.44874317497464,TPM:Adult-In4,DRONC_human,human
MG,1,0.9893,0.28046331818806236,-1.2173075999726184,TPM:Adult-In4,DRONC_human,human
NSC,1,0.805,0.6392979969051106,-0.8783160322957052,TPM:Adult-In4,DRONC_human,human
ODC,1,0.5457,0.8457252343478772,-0.33703072272864026,TPM:Adult-In4,DRONC_human,human
OPC,1,0.0083,2.344684161098024,3.440159744120763,TPM:Adult-In4,DRONC_human,human
Astrocyte,1,0.8082,0.6975752730247143,-0.8523724268009221,TPM:Adult-In4,AIBS2019,human
Endothelial cell,1,0.4276,1.038882107037682,0.06474305478538908,TPM:Adult-In4,AIBS2019,human
GABAergic,1,0,2.737975299896394,6.057400605188726,TPM:Adult-In4,AIBS2019,human
Glutamatergic,1,0.9939,0.417663579607103,-1.959846038613065,TPM:Adult-In4,AIBS2019,human
Microglia,1,0.9998,0.021347484735515274,-2.000473122810632,TPM:Adult-In4,AIBS2019,human
OPC,1,0.2875,1.152655454866779,0.4910582093543384,TPM:Adult-In4,AIBS2019,human
Oligodendrocyte,1,0.3127,1.1441498313792753,0.3868564778390518,TPM:Adult-In4,AIBS2019,human
ASC,1,0.5633,0.8938299643872655,-0.3092509348456065,TPM:Adult-In5,DRONC_human,human
END,1,0.9336,0.4960001148661593,-1.2232042315593559,TPM:Adult-In5,DRONC_human,human
exCA,1,0.9344,0.6767241934950385,-1.4256708014635853,TPM:Adult-In5,DRONC_human,human
exDG,1,0.8952,0.7104449578974191,-1.1931010598096867,TPM:Adult-In5,DRONC_human,human
exPFC,1,0.2399,1.1392993653201406,0.6251126579192042,TPM:Adult-In5,DRONC_human,human
GABA,1,0.0733,1.3755247208506471,1.5270626600218469,TPM:Adult-In5,DRONC_human,human
MG,1,0.9782,0.38857909984486827,-1.257922424981309,TPM:Adult-In5,DRONC_human,human
NSC,1,0.8137,0.6508452732094394,-0.9038037629545858,TPM:Adult-In5,DRONC_human,human
ODC,1,0.0131,2.24950370908216,3.012703994252371,TPM:Adult-In5,DRONC_human,human
OPC,1,0.1049,1.4042360576037252,1.2277446642359011,TPM:Adult-In5,DRONC_human,human
Astrocyte,1,0.892,0.6141118943350876,-1.1061753792924385,TPM:Adult-In5,AIBS2019,human
Endothelial cell,1,1,0,-1.8382067405313924,TPM:Adult-In5,AIBS2019,human
GABAergic,1,1e-4,2.3449512314325305,4.879843311369696,TPM:Adult-In5,AIBS2019,human
Glutamatergic,1,0.093,1.3660376565340624,1.357696821556589,TPM:Adult-In5,AIBS2019,human
Microglia,1,0.997,0.17085998733831392,-1.950770369914099,TPM:Adult-In5,AIBS2019,human
OPC,1,0.4104,1.0361989789211645,0.13118183616216836,TPM:Adult-In5,AIBS2019,human
Oligodendrocyte,1,0.2799,1.1672157797286522,0.49172288085062305,TPM:Adult-In5,AIBS2019,human
ASC,1,0.7931,0.5684936379277399,-0.7071487924285353,TPM:Adult-In6,DRONC_human,human
END,1,0.1636,1.6089035461233951,0.9927142125856273,TPM:Adult-In6,DRONC_human,human
exCA,1,0.9708,0.34757170991144526,-1.60083789347858,TPM:Adult-In6,DRONC_human,human
exDG,1,0.9981,0.07101938811698931,-2.1165039350307353,TPM:Adult-In6,DRONC_human,human
exPFC,1,0.9765,0.3258640621019627,-1.7295513414967802,TPM:Adult-In6,DRONC_human,human
GABA,1,0,4.400958189415548,7.039819439723622,TPM:Adult-In6,DRONC_human,human
MG,1,0.5891,0.5580837442723919,-0.44689843100986026,TPM:Adult-In6,DRONC_human,human
NSC,1,0.8797,0.4029983887071848,-1.0204468723184172,TPM:Adult-In6,DRONC_human,human
ODC,1,0.9856,0.16533185397126576,-1.151536994425142,TPM:Adult-In6,DRONC_human,human
OPC,1,0.2147,1.307400780014587,0.48470300405503436,TPM:Adult-In6,DRONC_human,human
Astrocyte,1,0.8907,0.43741598852880886,-1.0775749947007445,TPM:Adult-In6,AIBS2019,human
Endothelial cell,1,0.3465,1.164934056749142,0.18530853997837748,TPM:Adult-In6,AIBS2019,human
GABAergic,1,4e-4,2.9875730916113485,4.640255700172311,TPM:Adult-In6,AIBS2019,human
Glutamatergic,1,0.994,0.2280132452284764,-1.7796874970750052,TPM:Adult-In6,AIBS2019,human
Microglia,1,0.5481,0.7801189611094539,-0.3335240722885676,TPM:Adult-In6,AIBS2019,human
OPC,1,0.0422,1.9496503371140885,2.0523054423919325,TPM:Adult-In6,AIBS2019,human
Oligodendrocyte,1,0.9399,0.3371420224918724,-1.275432499468119,TPM:Adult-In6,AIBS2019,human
ASC,1,1,0.20480688378694903,-2.5189142725041487,TPM:Adult-In7,DRONC_human,human
END,1,0.2579,1.230711415713694,0.550631296961972,TPM:Adult-In7,DRONC_human,human
exCA,1,0.1027,1.3045451229800848,1.2730345313052271,TPM:Adult-In7,DRONC_human,human
