CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study,Species
END,1,1,0.41670386388553377,-5.7968371980000315,UMI:Ex6b,DRONC_human,human
exCA,1,0,1.8212669420686245,14.69174459612784,UMI:Ex6b,DRONC_human,human
exDG,1,0,1.4852635636244922,7.897015599480291,UMI:Ex6b,DRONC_human,human
exPFC,1,0,1.9028075439962742,16.675960422781476,UMI:Ex6b,DRONC_human,human
GABA,1,0,1.324562075054309,5.301521671752568,UMI:Ex6b,DRONC_human,human
MG,1,1,0.5233335953677781,-3.763704425485459,UMI:Ex6b,DRONC_human,human
NSC,1,1,0.5376629146868207,-5.09902066527343,UMI:Ex6b,DRONC_human,human
ODC,1,1,0.5174361919677228,-4.841407595866225,UMI:Ex6b,DRONC_human,human
OPC,1,0.0469,1.1456077096705988,1.7453642198086075,UMI:Ex6b,DRONC_human,human
Astrocyte,1,1,0.6137734111922415,-4.766496396083706,UMI:Ex6b,AIBS2019,human
Endothelial cell,1,0.9999,0.5480732370019504,-3.4202995831176013,UMI:Ex6b,AIBS2019,human
GABAergic,1,0,1.3941747795665285,6.035327062155706,UMI:Ex6b,AIBS2019,human
Glutamatergic,1,0,2.2116151389943313,19.063500714741874,UMI:Ex6b,AIBS2019,human
Microglia,1,1,0.3940740650599783,-5.805129887598591,UMI:Ex6b,AIBS2019,human
OPC,1,0.0023,1.2084943581754288,3.0580327953214503,UMI:Ex6b,AIBS2019,human
Oligodendrocyte,1,1,0.5662946132402582,-5.273987596241177,UMI:Ex6b,AIBS2019,human
ASC,1,1,0.7720361393151597,-3.3153725011021535,UMI:Ex8,DRONC_human,human
END,1,0.997,0.7908116604156095,-2.5055452603261616,UMI:Ex8,DRONC_human,human
exCA,1,0,1.6579165444018922,13.454589008210233,UMI:Ex8,DRONC_human,human
exDG,1,0,1.5272229262903374,9.972310757044767,UMI:Ex8,DRONC_human,human
exPFC,1,0,1.922304292126001,19.42762011470727,UMI:Ex8,DRONC_human,human
GABA,1,0,1.3679330238317366,6.90028458252205,UMI:Ex8,DRONC_human,human
MG,1,1,0.6378950837632412,-3.1976561549524436,UMI:Ex8,DRONC_human,human
NSC,1,1,0.534127376996973,-6.019949270897701,UMI:Ex8,DRONC_human,human
ODC,1,1,0.6745516580462224,-3.758234968773891,UMI:Ex8,DRONC_human,human
OPC,1,0.6768,0.9623863950574474,-0.49435847494036594,UMI:Ex8,DRONC_human,human
Astrocyte,1,1,0.6726202348634671,-4.680135270346571,UMI:Ex8,AIBS2019,human
Endothelial cell,1,0.9729,0.7905479415172775,-1.8497730608858323,UMI:Ex8,AIBS2019,human
GABAergic,1,0,1.3627545001674164,6.394745204386412,UMI:Ex8,AIBS2019,human
Glutamatergic,1,0,2.0682778522793535,18.644990656985208,UMI:Ex8,AIBS2019,human
Microglia,1,1,0.6127688375766192,-4.271441605469635,UMI:Ex8,AIBS2019,human
OPC,1,0.2283,1.0435716303696223,0.7208490116495828,UMI:Ex8,AIBS2019,human
Oligodendrocyte,1,1,0.710893726774008,-4.103141168942263,UMI:Ex8,AIBS2019,human
ASC,1,0.9974,0.7814600259631754,-2.5341884099107963,UMI:Ex9,DRONC_human,human
END,1,0.6198,0.9667757508769746,-0.32645856608474816,UMI:Ex9,DRONC_human,human
exCA,1,0,1.59315316745982,9.756908793024225,UMI:Ex9,DRONC_human,human
exDG,1,0,1.6346308420194633,9.470727539547813,UMI:Ex9,DRONC_human,human
exPFC,1,0,1.6762026890850783,11.477501313641566,UMI:Ex9,DRONC_human,human
GABA,1,0,1.6063797320051345,8.97800071084103,UMI:Ex9,DRONC_human,human
MG,1,0.9997,0.5848757969728481,-2.8411829551737218,UMI:Ex9,DRONC_human,human
NSC,1,0.9991,0.722621271216233,-2.9104616460782893,UMI:Ex9,DRONC_human,human
ODC,1,0.9346,0.8440865054749686,-1.4201317407690386,UMI:Ex9,DRONC_human,human
OPC,1,0.6612,0.9550326558618696,-0.4661283258737558,UMI:Ex9,DRONC_human,human
Astrocyte,1,1,0.6406251821542182,-4.2218075523092,UMI:Ex9,AIBS2019,human
Endothelial cell,1,0.448,1.014117121195195,0.09891358393437352,UMI:Ex9,AIBS2019,human
GABAergic,1,0,1.4746979298322225,6.677388788519676,UMI:Ex9,AIBS2019,human
Glutamatergic,1,0,1.7674167380244925,10.585349508847521,UMI:Ex9,AIBS2019,human
Microglia,1,0.9998,0.6343732196842224,-3.291809193202028,UMI:Ex9,AIBS2019,human
OPC,1,0.8377,0.9267643204373568,-0.9754336891942855,UMI:Ex9,AIBS2019,human
Oligodendrocyte,1,0.0367,1.1596837062824936,1.8642148004041392,UMI:Ex9,AIBS2019,human
ASC,1,0.9982,0.8049734031027657,-2.6468369146215798,UMI:In1a,DRONC_human,human
END,1,1,0.5912977600715603,-4.450042341153706,UMI:In1a,DRONC_human,human
exCA,1,0,1.3131223346602887,6.112397732781943,UMI:In1a,DRONC_human,human
exDG,1,1e-4,1.2639534429169772,4.650153835309222,UMI:In1a,DRONC_human,human
exPFC,1,0,1.2519702942108608,5.023231429750868,UMI:In1a,DRONC_human,human
GABA,1,0,2.4684241890941747,25.82028922099505,UMI:In1a,DRONC_human,human
MG,1,1,0.5190151053870921,-3.9895696859074494,UMI:In1a,DRONC_human,human
NSC,1,1,0.6792361996483229,-3.830651626540987,UMI:In1a,DRONC_human,human
ODC,1,0.9376,0.8660407501155594,-1.455935235485665,UMI:In1a,DRONC_human,human
OPC,1,0.007,1.222690938338044,2.742895074974379,UMI:In1a,DRONC_human,human
Astrocyte,1,1,0.6379141029573501,-4.894892417479242,UMI:In1a,AIBS2019,human
Endothelial cell,1,0.9991,0.633535911588792,-2.9550247028315213,UMI:In1a,AIBS2019,human
GABAergic,1,0,2.194264439373436,19.583980166214353,UMI:In1a,AIBS2019,human
Glutamatergic,1,0.01,1.1472622415547862,2.432590246623968,UMI:In1a,AIBS2019,human
Microglia,1,1,0.5198097958946061,-4.941450033559634,UMI:In1a,AIBS2019,human
OPC,1,0.012,1.1467991646323685,2.3285974988618947,UMI:In1a,AIBS2019,human
Oligodendrocyte,1,0.9929,0.8236888794462329,-2.301589501659923,UMI:In1a,AIBS2019,human
ASC,1,1,0.7224735038422143,-3.5661162164652564,UMI:In1b,DRONC_human,human
END,1,1,0.5470963842578025,-4.723964359638801,UMI:In1b,DRONC_human,human
exCA,1,0,1.3220759342376884,6.001560324703819,UMI:In1b,DRONC_human,human
exDG,1,0,1.3189882582314827,5.51239338790012,UMI:In1b,DRONC_human,human
exPFC,1,0,1.333698032156132,6.429793758684489,UMI:In1b,DRONC_human,human
GABA,1,0,2.3255353889391377,22.48252400920939,UMI:In1b,DRONC_human,human
MG,1,1,0.5177199822397556,-3.9370873858813837,UMI:In1b,DRONC_human,human
NSC,1,1,0.5922659155204011,-4.614607877765238,UMI:In1b,DRONC_human,human
ODC,1,0.9895,0.8048503830578301,-2.06106694706457,UMI:In1b,DRONC_human,human
OPC,1,0.0068,1.237784716498342,2.788818580678243,UMI:In1b,DRONC_human,human
Astrocyte,1,1,0.60054667351704,-5.040376340510163,UMI:In1b,AIBS2019,human
Endothelial cell,1,0.99,0.7214459489264586,-2.198079800823678,UMI:In1b,AIBS2019,human
GABAergic,1,0,2.2274673221913117,19.46157937837413,UMI:In1b,AIBS2019,human
Glutamatergic,1,1e-4,1.2365046198979224,3.77815474527593,UMI:In1b,AIBS2019,human
Microglia,1,1,0.40996625922426944,-5.8800295520761985,UMI:In1b,AIBS2019,human
OPC,1,0.0369,1.1220682749725417,1.8412293059499298,UMI:In1b,AIBS2019,human
Oligodendrocyte,1,1,0.6497771760054403,-4.425650282745066,UMI:In1b,AIBS2019,human
ASC,1,1,0.7044883407077267,-3.480904723504876,UMI:In1c,DRONC_human,human
END,1,1,0.4369742544679624,-5.245696952403589,UMI:In1c,DRONC_human,human
exCA,1,0,1.3613253139691923,6.0748575637191,UMI:In1c,DRONC_human,human
exDG,1,0,1.301965539029904,4.548942943170869,UMI:In1c,DRONC_human,human
exPFC,1,0,1.3698097522155643,6.214606614705522,UMI:In1c,DRONC_human,human
GABA,1,0,2.504366301922125,22.816147634247546,UMI:In1c,DRONC_human,human
MG,1,1,0.5199062186694415,-3.3821509466028647,UMI:In1c,DRONC_human,human
NSC,1,1,0.5732780243667752,-4.283012960324218,UMI:In1c,DRONC_human,human
ODC,1,0.9614,0.8244892867067112,-1.6303311278876975,UMI:In1c,DRONC_human,human
OPC,1,0.0075,1.2586656321285885,2.7642853060040444,UMI:In1c,DRONC_human,human
Astrocyte,1,1,0.5232898117201962,-5.504875820193612,UMI:In1c,AIBS2019,human
Endothelial cell,1,0.9996,0.5720888612998717,-2.9906478048077463,UMI:In1c,AIBS2019,human
GABAergic,1,0,2.2255969652074805,17.31144095388704,UMI:In1c,AIBS2019,human
Glutamatergic,1,4e-4,1.2613309997274427,3.7125534050491305,UMI:In1c,AIBS2019,human
Microglia,1,1,0.43713878912616316,-4.94012224194855,UMI:In1c,AIBS2019,human
OPC,1,2e-4,1.2907877218681503,3.9638730873929218,UMI:In1c,AIBS2019,human
Oligodendrocyte,1,1,0.6857978801614721,-3.5827107833614584,UMI:In1c,AIBS2019,human
ASC,1,0.9987,0.7824599149502885,-2.6481853483475937,UMI:In3,DRONC_human,human
END,1,1,0.47273560999297853,-5.058187536006758,UMI:In3,DRONC_human,human
exCA,1,0,1.3767021962015542,6.285574057272146,UMI:In3,DRONC_human,human
exDG,1,0,1.4185060297285716,6.383814925260578,UMI:In3,DRONC_human,human
exPFC,1,0,1.3775739952432207,6.563424594914393,UMI:In3,DRONC_human,human
GABA,1,0,2.2354600614074953,19.14624698318477,UMI:In3,DRONC_human,human
MG,1,1,0.4879562825131654,-3.7076476581339346,UMI:In3,DRONC_human,human
NSC,1,1,0.6157931436984386,-3.9217680606415333,UMI:In3,DRONC_human,human
ODC,1,0.9999,0.6767816519241899,-3.0688722036054306,UMI:In3,DRONC_human,human
OPC,1,0.0207,1.208406722416064,2.243316029606607,UMI:In3,DRONC_human,human
Astrocyte,1,1,0.6765106394264926,-3.754573901970841,UMI:In3,AIBS2019,human
Endothelial cell,1,0.9989,0.5851048884832574,-2.9286802442449162,UMI:In3,AIBS2019,human
GABAergic,1,0,2.191185413290966,17.15874378453635,UMI:In3,AIBS2019,human
Glutamatergic,1,0,1.2899304366314865,4.249088322990328,UMI:In3,AIBS2019,human
Microglia,1,1,0.37134476703942265,-5.6272868784104375,UMI:In3,AIBS2019,human
OPC,1,6e-4,1.2464532554136678,3.423448470567821,UMI:In3,AIBS2019,human
Oligodendrocyte,1,1,0.5479104316018928,-5.165717951517335,UMI:In3,AIBS2019,human
ASC,1,1,0.7107908248302875,-3.680621212279111,UMI:In4a,DRONC_human,human
END,1,1,0.5168661648507741,-4.775059234561487,UMI:In4a,DRONC_human,human
exCA,1,0,1.2803719710047952,5.104417676338956,UMI:In4a,DRONC_human,human
exDG,1,0,1.3132131255893145,5.139051759639253,UMI:In4a,DRONC_human,human
exPFC,1,0,1.2714496459845641,4.973156470838685,UMI:In4a,DRONC_human,human
GABA,1,0,2.4733628109954733,23.9636523959308,UMI:In4a,DRONC_human,human
MG,1,1,0.47521644155864,-4.08202604532885,UMI:In4a,DRONC_human,human
NSC,1,1,0.5739767948340341,-4.6841986480082385,UMI:In4a,DRONC_human,human
ODC,1,0.9633,0.8379872151475957,-1.6583840426721972,UMI:In4a,DRONC_human,human
OPC,1,9e-4,1.3035396940482105,3.507269443257063,UMI:In4a,DRONC_human,human
Astrocyte,1,1,0.5837174663211824,-5.152992715690603,UMI:In4a,AIBS2019,human
Endothelial cell,1,1,0.5323090553947846,-3.5308193742632175,UMI:In4a,AIBS2019,human
GABAergic,1,0,2.3051902287070662,19.96928527349873,UMI:In4a,AIBS2019,human
Glutamatergic,1,0.0028,1.1913265112899287,2.91043117869724,UMI:In4a,AIBS2019,human
Microglia,1,1,0.42652868227130314,-5.475049053330419,UMI:In4a,AIBS2019,human
OPC,1,0.0046,1.1887162432243055,2.7555640981396925,UMI:In4a,AIBS2019,human
Oligodendrocyte,1,1,0.7026775598437779,-3.5846739413981648,UMI:In4a,AIBS2019,human
ASC,1,1,0.7353441534319894,-3.838481752081974,UMI:In4b,DRONC_human,human
END,1,1,0.6292255209949904,-4.352624837027742,UMI:In4b,DRONC_human,human
exCA,1,0,1.3682603404278815,7.48289556678547,UMI:In4b,DRONC_human,human
exDG,1,0,1.3462450449979304,6.52620125484294,UMI:In4b,DRONC_human,human
exPFC,1,0,1.3064903002121317,6.4771818563834875,UMI:In4b,DRONC_human,human
GABA,1,0,2.326781673780747,24.74239655656547,UMI:In4b,DRONC_human,human
MG,1,1,0.5141576611801602,-4.310096230296866,UMI:In4b,DRONC_human,human
NSC,1,1,0.6462308173771633,-4.463258452422379,UMI:In4b,DRONC_human,human
ODC,1,0.9865,0.8229516924495262,-2.0270917679442495,UMI:In4b,DRONC_human,human
OPC,1,0.0041,1.2254966569636607,2.9726298393663018,UMI:In4b,DRONC_human,human
Astrocyte,1,1,0.6001264190744329,-5.715247855972215,UMI:In4b,AIBS2019,human
Endothelial cell,1,0.9965,0.7031008413684309,-2.5510467820262117,UMI:In4b,AIBS2019,human
GABAergic,1,0,2.229627587679467,21.298280154863836,UMI:In4b,AIBS2019,human
Glutamatergic,1,2e-4,1.2354225191477681,4.123233378455126,UMI:In4b,AIBS2019,human
Microglia,1,1,0.4686042007012747,-5.896369954132451,UMI:In4b,AIBS2019,human
OPC,1,0.0143,1.1357021009220456,2.2473133163192265,UMI:In4b,AIBS2019,human
Oligodendrocyte,1,0.9998,0.7608427098470049,-3.309363624441577,UMI:In4b,AIBS2019,human
ASC,1,0.9558,0.871655786816249,-1.6237169236968343,UMI:In6a,DRONC_human,human
END,1,1,0.5349883615581088,-4.640117025331054,UMI:In6a,DRONC_human,human
exCA,1,0,1.3493266971670759,6.21534550685598,UMI:In6a,DRONC_human,human
exDG,1,1e-4,1.2350235694902427,3.846115222778295,UMI:In6a,DRONC_human,human
exPFC,1,0,1.3669338731159928,6.680199502125974,UMI:In6a,DRONC_human,human
GABA,1,0,2.346565032998448,22.296645564427546,UMI:In6a,DRONC_human,human
MG,1,1,0.584607874355669,-3.256238307808178,UMI:In6a,DRONC_human,human
NSC,1,1,0.622034620170478,-4.136483457974635,UMI:In6a,DRONC_human,human
ODC,1,0.9997,0.7019561654333083,-2.992281892678574,UMI:In6a,DRONC_human,human
OPC,1,0,1.3969499961709246,4.503043407077968,UMI:In6a,DRONC_human,human
Astrocyte,1,0.9999,0.701108337119286,-3.6794227822177112,UMI:In6a,AIBS2019,human
Endothelial cell,1,0.9977,0.6465785530883139,-2.6528453788848623,UMI:In6a,AIBS2019,human
GABAergic,1,0,2.0504772416315347,15.935246716342146,UMI:In6a,AIBS2019,human
Glutamatergic,1,2e-4,1.2725497195403026,4.161318931668737,UMI:In6a,AIBS2019,human
Microglia,1,1,0.424769378869838,-5.449320663790192,UMI:In6a,AIBS2019,human
OPC,1,3e-4,1.254909706533344,3.6309271892033625,UMI:In6a,AIBS2019,human
Oligodendrocyte,1,1,0.6454329617014264,-4.246029093481561,UMI:In6a,AIBS2019,human
ASC,1,0.9998,0.7510666085198373,-3.211319731683411,UMI:In6b,DRONC_human,human
END,1,1,0.5750108002513592,-4.353104313572536,UMI:In6b,DRONC_human,human
exCA,1,0,1.3755220752805168,6.909756746994838,UMI:In6b,DRONC_human,human
exDG,1,3e-4,1.2140636490358796,3.5866823030953965,UMI:In6b,DRONC_human,human
exPFC,1,0,1.395485016331007,7.431143535558737,UMI:In6b,DRONC_human,human
GABA,1,0,2.4261382236931963,24.02855357406932,UMI:In6b,DRONC_human,human
MG,1,1,0.5725245240573377,-3.371815441774526,UMI:In6b,DRONC_human,human
NSC,1,0.9998,0.6944105251524044,-3.4850435012905936,UMI:In6b,DRONC_human,human
ODC,1,1,0.5912599592812265,-4.198283396093556,UMI:In6b,DRONC_human,human
OPC,1,0.0021,1.276793221753249,3.22816277510326,UMI:In6b,DRONC_human,human
Astrocyte,1,1,0.6283700686925993,-4.731234727829378,UMI:In6b,AIBS2019,human
Endothelial cell,1,0.9916,0.7031424517216913,-2.262806848674794,UMI:In6b,AIBS2019,human
GABAergic,1,0,2.1059774213036406,17.086219263884182,UMI:In6b,AIBS2019,human
Glutamatergic,1,0,1.3044638342109072,4.685880569318446,UMI:In6b,AIBS2019,human
Microglia,1,1,0.5060705067665138,-4.762643863833998,UMI:In6b,AIBS2019,human
OPC,1,0,1.2327641562281588,3.4376019638402115,UMI:In6b,AIBS2019,human
Oligodendrocyte,1,1,0.610686799582416,-4.84299163352984,UMI:In6b,AIBS2019,human
ASC,1,1,0.7126088332581939,-3.8119926342996635,UMI:In7,DRONC_human,human
END,1,1,0.574552105308087,-4.434557884162992,UMI:In7,DRONC_human,human
exCA,1,0,1.4041251131198522,7.497564555539266,UMI:In7,DRONC_human,human
exDG,1,0,1.3978051689875992,6.732103283783579,UMI:In7,DRONC_human,human
exPFC,1,0,1.4468565459651492,8.418464407817991,UMI:In7,DRONC_human,human
GABA,1,0,2.270595678882278,21.21564865725319,UMI:In7,DRONC_human,human
MG,1,1,0.5689107908201495,-3.4345156641376113,UMI:In7,DRONC_human,human
NSC,1,1,0.573454545525172,-4.814321778487408,UMI:In7,DRONC_human,human
ODC,1,1,0.5986345955869384,-4.179336180277878,UMI:In7,DRONC_human,human
OPC,1,0.0257,1.179934075189203,2.134249067481774,UMI:In7,DRONC_human,human
Astrocyte,1,1,0.6083340782917495,-4.978904186276735,UMI:In7,AIBS2019,human
Endothelial cell,1,0.9963,0.6782070828165372,-2.5154129370751916,UMI:In7,AIBS2019,human
GABAergic,1,0,2.0956737453529963,17.50748306866142,UMI:In7,AIBS2019,human
Glutamatergic,1,0,1.395573850992931,6.299922419754839,UMI:In7,AIBS2019,human
Microglia,1,1,0.5220433946683141,-4.6115863679920635,UMI:In7,AIBS2019,human
OPC,1,0.0109,1.1616496003689154,2.3925924392708136,UMI:In7,AIBS2019,human
Oligodendrocyte,1,1,0.5729245304989915,-5.366509229020291,UMI:In7,AIBS2019,human
ASC,1,1,0.7491576970932948,-3.071668275710942,UMI:In8,DRONC_human,human
END,1,1,0.5713373993467443,-4.140033856447282,UMI:In8,DRONC_human,human
exCA,1,0,1.4234677985317092,7.2988681279788175,UMI:In8,DRONC_human,human
exDG,1,1e-4,1.2884116386898232,4.54931186208905,UMI:In8,DRONC_human,human
exPFC,1,0,1.3396823398604256,6.024238001315845,UMI:In8,DRONC_human,human
GABA,1,0,2.320914574059428,20.819264429633478,UMI:In8,DRONC_human,human
MG,1,1,0.5862180948195104,-3.0555229249809353,UMI:In8,DRONC_human,human
NSC,1,1,0.6383434106081115,-3.802532402895105,UMI:In8,DRONC_human,human
ODC,1,1,0.578901095563208,-4.13212975561178,UMI:In8,DRONC_human,human
OPC,1,0.2433,1.0607697712406472,0.6606779747435899,UMI:In8,DRONC_human,human
Astrocyte,1,1,0.631844098424734,-4.34623643355638,UMI:In8,AIBS2019,human
Endothelial cell,1,0.9335,0.7952990770657203,-1.485363268447227,UMI:In8,AIBS2019,human
GABAergic,1,0,2.187389144707824,17.37869690240639,UMI:In8,AIBS2019,human
Glutamatergic,1,0,1.3153240998789708,4.680241029919672,UMI:In8,AIBS2019,human
Microglia,1,1,0.5384099494821694,-4.181763776291544,UMI:In8,AIBS2019,human
OPC,1,0.1629,1.0707465844042747,0.9821818352555803,UMI:In8,AIBS2019,human
Oligodendrocyte,1,1,0.5439483314352417,-5.299117256073392,UMI:In8,AIBS2019,human
ASC,1,0.95,0.8171669760308041,-1.4892089697686712,UMI:Microglia,DRONC_human,human
END,1,0.8882,0.820750358930188,-1.1804702811034748,UMI:Microglia,DRONC_human,human
exCA,1,0.9996,0.7354197410909546,-3.01256849231925,UMI:Microglia,DRONC_human,human
exDG,1,0.9969,0.7573931433975211,-2.527765258190118,UMI:Microglia,DRONC_human,human
exPFC,1,0.9988,0.7480087918229095,-2.942855320564929,UMI:Microglia,DRONC_human,human
GABA,1,1,0.6748264398995695,-3.4034616937037216,UMI:Microglia,DRONC_human,human
MG,1,0,7.715912600488217,31.298524761450434,UMI:Microglia,DRONC_human,human
NSC,1,1,0.494456386138454,-3.550257000678356,UMI:Microglia,DRONC_human,human
ODC,1,0.2297,1.1100639112338533,0.6917703811270253,UMI:Microglia,DRONC_human,human
OPC,1,0.396,1.0255740654287069,0.17890126796539566,UMI:Microglia,DRONC_human,human
Astrocyte,1,1,0.40371245848572646,-4.710956866985199,UMI:Microglia,AIBS2019,human
Endothelial cell,1,0.981,0.6052550974115025,-1.9104020807124913,UMI:Microglia,AIBS2019,human
GABAergic,1,1,0.31280378886976135,-6.726400226701178,UMI:Microglia,AIBS2019,human
Glutamatergic,1,1,0.360769230926585,-6.286299234716355,UMI:Microglia,AIBS2019,human
Microglia,1,0,5.177967673529335,25.477265878677475,UMI:Microglia,AIBS2019,human
OPC,1,1,0.5468330865490595,-4.180867902775535,UMI:Microglia,AIBS2019,human
Oligodendrocyte,1,0.998,0.6804773814790226,-2.495744403493447,UMI:Microglia,AIBS2019,human
ASC,1,0.0395,1.15853741655426,1.849677785023444,UMI:Oligo,DRONC_human,human
END,1,0.9996,0.6810772964183601,-3.008243345276794,UMI:Oligo,DRONC_human,human
exCA,1,0.8348,0.9403389621816742,-0.9720229180685199,UMI:Oligo,DRONC_human,human
exDG,1,0.3535,1.0240494017770871,0.36393425191860224,UMI:Oligo,DRONC_human,human
exPFC,1,0.987,0.8733348274420526,-2.1530785311736396,UMI:Oligo,DRONC_human,human
GABA,1,0.9493,0.8935126410853699,-1.5899351217422346,UMI:Oligo,DRONC_human,human
MG,1,0.493,0.9912539042641859,-0.06258995770466484,UMI:Oligo,DRONC_human,human
NSC,1,0.998,0.7361501343405112,-2.649446704916455,UMI:Oligo,DRONC_human,human
ODC,1,0,5.57061764741935,41.03786827474571,UMI:Oligo,DRONC_human,human
OPC,1,0,1.4937838872472928,5.099833048910131,UMI:Oligo,DRONC_human,human
Astrocyte,1,0.9998,0.6898928078698079,-3.5475791340721425,UMI:Oligo,AIBS2019,human
Endothelial cell,1,0.3912,1.0355297242194665,0.24320616181217763,UMI:Oligo,AIBS2019,human
GABAergic,1,1,0.5255975642815335,-6.455678271971869,UMI:Oligo,AIBS2019,human
Glutamatergic,1,1,0.5260632352178214,-6.576578495022186,UMI:Oligo,AIBS2019,human
Microglia,1,1,0.5190312610388679,-4.247266448032054,UMI:Oligo,AIBS2019,human
OPC,1,0.9376,0.887464154912829,-1.5091597839967092,UMI:Oligo,AIBS2019,human
Oligodendrocyte,1,0,3.916457531117484,32.68616700410993,UMI:Oligo,AIBS2019,human
ASC,1,0.0049,1.2752194197933435,2.835397440970412,UMI:OPC,DRONC_human,human
END,1,1,0.4850283803612279,-4.180007045011446,UMI:OPC,DRONC_human,human
exCA,1,0.8357,0.9331136212346272,-0.9776766657290509,UMI:OPC,DRONC_human,human
exDG,1,0.456,1.0068300684461324,0.08808752438922307,UMI:OPC,DRONC_human,human
exPFC,1,0.9801,0.8675786930929181,-1.98200185303225,UMI:OPC,DRONC_human,human
GABA,1,0.0032,1.2252088534947247,2.9974043941771558,UMI:OPC,DRONC_human,human
MG,1,0.9929,0.6812341204691891,-2.0135414790095103,UMI:OPC,DRONC_human,human
NSC,1,0.9938,0.7367034734389373,-2.292556766050126,UMI:OPC,DRONC_human,human
ODC,1,0.0041,1.3758543040972775,3.0567814357366054,UMI:OPC,DRONC_human,human
OPC,1,0,4.858375988950128,34.80071956883456,UMI:OPC,DRONC_human,human
Astrocyte,1,0.9415,0.8464556771385274,-1.5128912120404379,UMI:OPC,AIBS2019,human
Endothelial cell,1,1,0.44214785735168904,-3.397047255025673,UMI:OPC,AIBS2019,human
GABAergic,1,0.9991,0.7683641266557244,-2.838064658767667,UMI:OPC,AIBS2019,human
Glutamatergic,1,1,0.5420086430409444,-5.6689368972420136,UMI:OPC,AIBS2019,human
Microglia,1,1,0.420812449439994,-4.376909111146039,UMI:OPC,AIBS2019,human
OPC,1,0,3.3166268626901103,26.934842468940765,UMI:OPC,AIBS2019,human
Oligodendrocyte,1,0.9061,0.8687034122519741,-1.2897139170639307,UMI:OPC,AIBS2019,human
ASC,1,9e-4,1.587366969654171,3.9492468224359962,UMI:Per,DRONC_human,human
END,1,0,3.651531537095493,14.396223126740622,UMI:Per,DRONC_human,human
exCA,1,1,0.57084282082998306,-4.031342114275607,UMI:Per,DRONC_human,human
exDG,1,0.9992,0.6804757772029049,-2.7618908142502216,UMI:Per,DRONC_human,human
exPFC,1,0.9989,0.7122663828809529,-2.8352506412290626,UMI:Per,DRONC_human,human
GABA,1,0.8714,0.8726478679842323,-1.1032084372477555,UMI:Per,DRONC_human,human
MG,1,0.9389,0.673417555572804,-1.3343090646761635,UMI:Per,DRONC_human,human
NSC,1,0.8081,0.8521843583162351,-0.8726080289930964,UMI:Per,DRONC_human,human
ODC,1,0.4439,1.0069646970461428,0.03840188232844719,UMI:Per,DRONC_human,human
OPC,1,0.19,1.1344877085769258,0.8373348427166645,UMI:Per,DRONC_human,human
Astrocyte,1,0.0547,1.2532436677074388,1.6886971708318528,UMI:Per,AIBS2019,human
Endothelial cell,1,0,4.500888316672206,14.366012304474252,UMI:Per,AIBS2019,human
GABAergic,1,0.9999,0.5666222648454997,-3.5572598858229485,UMI:Per,AIBS2019,human
Glutamatergic,1,1,0.4513816604023423,-4.5288060747873935,UMI:Per,AIBS2019,human
Microglia,1,0.9988,0.4954466962619978,-2.597201543341131,UMI:Per,AIBS2019,human
OPC,1,0.9036,0.8379048004417655,-1.2758541382483217,UMI:Per,AIBS2019,human
Oligodendrocyte,1,0.9772,0.722336245467555,-1.8370560004104712,UMI:Per,AIBS2019,human
